Date,Open,High,Low,Close,Adj Close,Volume
9/15/15,42.360001,42.849998,41.889999,42.639999,41.206196,7008300
9/16/15,42.400002,43.25,42.240002,43.060001,41.612064,7703100
9/17/15,43.110001,44.59,42.990002,43.990002,42.510796,12835700
9/18/15,43.43,44.029999,43.279999,43.490002,42.027607,12386900
9/21/15,43.720001,44.009998,42.880001,43.23,41.776352,6687200
9/22/15,42.77,43.080002,40.919998,41.189999,39.804947,12483700
9/23/15,41.32,41.5,40.5,41.240002,39.853264,8248800
9/24/15,41.150002,41.150002,39.919998,40.25,38.896545,10507300
9/25/15,40.93,41.029999,39.919998,40.240002,38.886894,7524900
9/28/15,39.869999,40.18,38.639999,39.080002,37.765896,9635900
9/29/15,39.049999,39.77,38.790001,39.18,37.862537,7478800
9/30/15,39.18,39.68,37.720001,38.830002,37.524307,15646800
10/1/15,38.5,39.27,37.84,39.200001,37.881859,9175100
10/2/15,38.75,38.77,37.419998,38.630001,37.331032,12276300
10/5/15,38.900002,40.299999,38.82,40.189999,38.838573,9421800
10/6/15,39.950001,40.369999,38.080002,38.130001,36.847847,12985800
10/7/15,38.41,39.41,37.759998,39.310001,37.988163,10513700
10/8/15,39.209999,40.029999,38.700001,39.740002,38.403698,8308100
10/9/15,40.27,42.490002,40.25,42.419998,40.993584,16835500
10/12/15,42.59,43.880001,42.549999,43.84,42.365833,11443300
10/13/15,42.700001,43.970001,42.52,43.41,41.950291,13250300
10/14/15,44,44.5,43.23,43.799999,42.327183,11125800
10/15/15,44.099998,44.48,43.5,44.459999,42.964985,8185400
10/16/15,43.950001,44.02,42.860001,43.709999,42.2402,11572900
10/19/15,43.830002,44.490002,43.619999,44.450001,42.955322,8934600
10/20/15,44.540001,45.18,44.450001,44.790001,43.283886,7582400
10/21/15,44.490002,45.18,44.09,44.310001,42.820034,6935700
10/22/15,44.889999,46.009998,44.360001,45.990002,44.443542,14444600
10/23/15,46.369999,46.419998,43.810001,45.669998,44.134296,20281400
10/26/15,45.360001,46.57,44.990002,46.470001,44.907398,11026200
10/27/15,46.41,46.689999,45.650002,46.459999,44.897736,6824100
10/28/15,46.200001,46.360001,45.23,45.860001,44.317909,7629700
10/29/15,45.630001,46.099998,45.209999,45.860001,44.317909,5178800
10/30/15,45.77,46.77,45.709999,46.220001,44.665806,8589700
11/2/15,46.200001,46.82,46.200001,46.470001,44.907398,6189300
11/3/15,47.02,47.09,46.080002,46.5,45.033302,6983200
11/4/15,46.419998,46.450001,45.150002,45.630001,44.190742,8050600
11/5/15,45.700001,45.830002,45.029999,45.599998,44.161682,5864700
11/6/15,45.509998,45.970001,45.049999,45.34,43.909889,11669600
11/9/15,45.169998,45.209999,44.560001,44.650002,43.24165,7214600
11/10/15,44.66,45.16,44.02,44.490002,43.086697,5935300
11/11/15,44.759998,44.950001,44.369999,44.389999,42.989849,4413000
11/12/15,44.290001,44.52,43.82,43.900002,42.515308,5951100
11/13/15,43.669998,44.23,43.119999,43.450001,42.079502,7486100
11/16/15,42.41,42.84,41.849998,42.830002,41.479057,10201100
11/17/15,43,43.459999,42.049999,42.299999,40.965771,9596500
11/18/15,42.32,42.32,41.009998,41.75,40.433121,11071100
11/19/15,41.939999,42.73,41.889999,42.299999,40.965771,6545500
11/20/15,42.400002,42.709999,42.049999,42.200001,40.868931,5656000
11/23/15,42.110001,42.740002,41.810001,42.299999,40.965771,4166100
11/24/15,41.02,41.639999,40.450001,41.23,39.929527,7578000
11/25/15,41.349998,41.5,40.959999,41.310001,40.007,4276600
11/27/15,41.380001,42.25,41.169998,41.689999,40.375015,3066600
11/30/15,41.75,41.990002,40.98,41.259998,39.95858,6450900
12/1/15,41.470001,43.299999,41.299999,43.259998,41.895489,8912900
12/2/15,44.09,44.529999,43.529999,43.82,42.437832,8010400
12/3/15,43.650002,44.599998,42.919998,43.27,41.905178,7235300
12/4/15,43.82,44.990002,43.82,44.970001,43.551556,9460900
12/7/15,45.349998,46.490002,45.220001,45.779999,44.336002,8911700
12/8/15,45.099998,45.509998,44.07,44.549999,43.144802,9043700
12/9/15,44.299999,45.189999,43.189999,43.650002,42.273197,8001000
12/10/15,43.790001,44.48,43.540001,44.09,42.699314,7948000
12/11/15,43.279999,43.59,42.060001,42.09,40.762398,10235200
12/14/15,42.259998,42.869999,41.080002,41.77,40.452496,10750500
12/15/15,41.970001,42.82,41.919998,42.599998,41.25631,7097300
12/16/15,42.990002,43.490002,42.119999,43.200001,41.837399,7850900
12/17/15,43.330002,43.950001,42.450001,42.459999,41.12072,7225000
12/18/15,41.610001,42.310001,40.700001,41.09,39.793941,17810000
12/21/15,41.349998,42.43,41.349998,42.400002,41.062614,6597500
12/22/15,42.560001,43.080002,42.360001,42.900002,41.546852,5704700
12/23/15,42.779999,43.389999,42.43,43.290001,41.924545,6093600
3/11/19,31.639999,32.27,31.57,32.049999,32.049999,8944000
3/12/19,32.189999,32.189999,30.879999,30.92,30.92,10887500
3/13/19,31.219999,31.93,31,31.84,31.84,11092900
3/14/19,31.959999,32.470001,31.879999,32.130001,32.130001,6454500
3/15/19,32.279999,32.349998,31.42,31.43,31.43,9645100
3/18/19,31.5,31.58,31.030001,31.379999,31.379999,6832700
3/19/19,31.5,32.119999,31.379999,31.59,31.59,6824500
3/20/19,31.5,31.549999,30.77,30.959999,30.959999,6250200
3/21/19,30.889999,31.77,30.790001,31.450001,31.450001,5725100
3/22/19,31.32,31.440001,30.530001,30.57,30.57,7488900
3/25/19,30.530001,30.719999,30.16,30.209999,30.209999,5172000
3/26/19,30.51,30.620001,29.969999,30.209999,30.209999,4583400
3/27/19,30.27,31.200001,30.15,30.940001,30.940001,6406900
3/28/19,31.01,31.370001,30.440001,30.9,30.9,6687200
3/29/19,31.139999,31.889999,30.84,31.76,31.76,6980800
4/1/19,31.98,32.73,31.700001,32.349998,32.349998,7438200
4/2/19,33.040001,33.470001,32.459999,32.990002,32.990002,10406100
4/3/19,33.220001,33.990002,33.209999,33.709999,33.709999,10047400
4/4/19,33.959999,34.119999,33.349998,33.93,33.93,6192300
4/5/19,33.970001,34.400002,33.880001,34.060001,34.060001,5164700
4/8/19,33.639999,33.950001,33.439999,33.880001,33.880001,6219800
4/9/19,33.369999,33.52,32.599998,33.310001,33.310001,8119100
4/10/19,33.759998,34.130001,33.09,34.02,34.02,7159500
4/11/19,33.990002,34.970001,33.91,34.810001,34.810001,7352400
4/12/19,34.990002,35.240002,34.5,34.689999,34.689999,4610500
4/15/19,34.650002,35.240002,33.68,33.75,33.75,6390600
4/16/19,33.959999,34.09,33.59,34.029999,34.029999,4498400
4/17/19,34.450001,34.720001,34.099998,34.380001,34.380001,3772100
4/18/19,34.43,34.619999,33.900002,34.369999,34.369999,3318200
4/22/19,34.099998,34.200001,33.419998,33.48,33.48,3884200
4/23/19,33.43,34.18,33.419998,33.970001,33.970001,3329800
4/24/19,33.919998,34.490002,33.900002,33.990002,33.990002,3739800
4/25/19,34.049999,34.25,33.130001,33.41,33.41,6156500
4/26/19,32.150002,33.919998,32.099998,33.060001,33.060001,9618100
